Jade.my,華麗(翡翠台)
81,翡翠台
82,J2台
83,無綫新聞台
85,無綫財經·體育·資訊台
83,無綫新聞台
85,無綫財經·體育·資訊台
nowNews,now新聞台
nowBusinessNewsChannel,now財經台
ViuTV,ViuTV99
EntertainmentNews,娛樂新聞台
RTHKTV31,港台电视31
RTHKTV32,港台电视32
RTHKTV33,港台电视33
76,香港國際財經台
77,香港開電視
78,香港開電視資訊台
PhoenixInfoNewsChannel,鳳凰衛視資訊台
PhoenixChineseChannel,鳳凰衛視中文台
PhoenixHongKongChannel,鳳凰衛視香港台
MacauLotusTv,澳門蓮花衛視
TVBXingHe,TVB星河台(粵語)
TVBXingHe,TVB星河台(國語)
TVBClassic,千禧經典台
CelestialMoviesMalaysia,天映頻道
1,MytvSuper
AsianDrama,亞洲劇台
ChineseDrama,華語劇台
MeiAhMovieChannel,美亞電影台
AsianFoodNetwork,Asian
AstroAEC,Astro
Channel8,Channel
ChannelU,Channel
HBOAsia,HBO
HBOFamilyAsia,HBO
HBOHitsAsia,HBO
HBOSignatureAsia,HBO
CinemaxAsia,Cinemax
nowSportsPrime,now精選體育
CBSSportsNetworkUSA,CBS
litv-longturn05,博斯高球台
litv-longturn07,博斯運動一台
litv-longturn09,博斯網球台
litv-longturn10,博斯無限台
DAZNF1,DAZN
Laliga,DAZN
Unbeaten,Unbeaten
beINSPORTSXTRA,beIN
beINSports,beIN
beINSports2,beIN
beINSports3,beIN
AstroSuperSport,Astro
AstroSuperSport2,Astro
AstroSuperSport3,Astro
AstroSuperSport4,Astro
ChampionsTVEPL,Peacock
SkySportsPremierLeagueHD,Sky
SkySportsF1HD,Sky
SkySportsMainEventHD,Sky
SkySportArena,Sky
SkySportCalcio,Sky
SkySportF1,Sky
SkySportGolf,Sky
SkySportMax,Sky
SkySportMotoGP,Sky
SkySportNBA,Sky
SkySportTennis,Sky
SkySportUno,Sky
nowNBA,NBA
TNTSports1HD,TNT
TNTSports2HD,TNT
TNTSports3HD,TNT
TNTSports4HD,TNT
ViaplaySports1HD,Viaplay
ViaplaySports2HD,Viaplay
SPOTV,SPOTV
SPOTV2,SPOTV2
nowSportsPremierLeague1,now英超1台
ESPN.us,ESPN
ESPN2.us,ESPN
ESPNU.us,ESPN
ESPNews.us,ESPN
PremierSports1,Premier
PremierSports2,Premier
HubPremier1.sg,Hub
HubPremier2.sg,Hub
9999,ANN
BBCWorldNewsAsiaPacific,BBC
BloombergTVAsia,Bloomberg
CBNNews,CBN
CBSNews,CBS
CNA,CNA
CNBCAsia,CNBC
CNN,CNN
DWEnglish,DW
FoxNewsChannel,Fox
France24English,France
NBCNews,NBC
NHKWorldJapan,NHK
SkyNews,SKY
TRTWorld,TRT
YonhapNewsTV,韓聯社新聞
KBSWorld,KBS
9999,Japan
GEM,Sony
PLAYY,PLAYY電影
NickJr.de,Nick Jr
sonypixhd,SONY
4gtv-live114,東森新聞
4gtv-live019,東森財經新聞
4gtv-4gtv009,中天新聞
4gtv-4gtv052,華視新聞
4gtv-4gtv074,中視新聞
litv-ftv13,民視新聞
litv-longturn14,寰宇國際新聞
litv-longturn15,寰宇台灣新聞
litv-longturn23,寰宇財經新聞
4gtv-live089,三立財經新聞
9999,三立新聞
9999,三立新聞+
台视新闻台,台視新聞
9999,公視新聞
4gtv-live072,TVBS新聞
4gtv-4gtv073,TVBS
9999,天才衝衝衝
4gtv-live087,TVBS綜藝台
4gtv-live088,TVBS台劇台
4gtv-4gtv067,TVBS精彩台
4gtv-4gtv068,TVBS歡樂台
TVBSAsia,TVBS亞洲台
CTiAsia,中天亞洲台
4gtv-live207,三立綜合台
4gtv-4gtv002,民視HD
4gtv-4gtv003,民視第一台
4gtv-4gtv001,民視台灣台
NickelodeonAsia,尼克兒童頻道
NickJrAsia,Nick
4gtv-live025,MTV
4gtv-live026,History歷史頻道
4gtv-live027,CI
4gtv-live120,愛爾達生活旅遊台
litv-longturn17,亞洲旅遊台
OlympicChannel1,奧運801台
OlympicChannel2,奧運802台
OlympicChannel3,奧運803台
OlympicChannel4,奧運804台
OlympicChannel5,奧運805台
OlympicChannel6,奧運806台
OlympicChannel7,奧運807台
OlympicChannel8,奧運808台
OlympicChannel9,奧運809台
OlympicChannel10,奧運810台
OlympicChannel11,奧運811台
OlympicChannel12,奧運812台
OlympicChannel13,奧運813台
OlympicChannel14,奧運814台
OlympicChannel15,奧運815台
OlympicChannel16,奧運816台
OlympicChannel17,奧運新聞台
